lens_res	shape_nodes	max_node	purity
1000	6950	3	0.9992805755395684
200	5066	17	0.9794709830240821
100	3086	86	0.9348671419313026
50	1632	333	0.8860294117647058
20	632	1428	0.8686708860759493
10	216	3230	0.7268518518518519
5	160	3002	0.8
3	97	2702	0.7010309278350515
2	45	4741	0.4222222222222222
