R	K	model	data	total
1	12	540	193753	194293
2	45	2270	190837	193107
3	97	5900	186654	192554
4	176	12120	207588	219708
5	160	10950	185639	196589
6	121	7430	197513	204943
8	144	7710	177602	185312
10	216	12340	187250	199590
12	355	21530	180954	202484
15	455	26840	173243	200083
20	632	36590	169285	205875
30	971	54040	158804	212844
50	1632	84740	143405	228145
100	3086	143980	122975	266955
