# निवृत्त — rows whose pair was re-asked this pass at a CURRENT digest,
# so this row's digest is superseded.  Kept, not deleted: शेषं रक्ष.
# A pair that was simply not asked is NOT retired — मौनं न निषेधः.
# addrF	addrG	rung	probe	verdict	class	where	obligation
4a4814f2e666b0a5	803a7c67ecf09e3c	२/३ split	f9756903f391da16	Refused	खण्डितम् · distinct constructors of _⊎_	AchromaticToy : to₁₂ ⇄ to₂₁	inr Agda.Builtin.Unit.tt != inl w₀ of type Agda.Builtin.Unit.⊤ Cubical.Data.Sum.⊎ Agda.Builtin.Unit.⊤ when checking that the expression refl has type to₁₂ (to₂₁ (inl w₀)) ≡ inl w₀
4a6caddde52467b8	b907b98483d52bf0	१ refl	b60db07d38f378fe	Refused	induction on ℕ	IntegerHullMultiplicity : SQ ⇄ hull	SQ (hull b) != b of type Agda.Builtin.Nat.Nat when checking that the expression refl has type SQ (hull b) ≡ b
4d136ede295c93f2	5b7942017abffb8e	२/३ split	d96179280d26c09f	Refused	unclassified	WallCertificate : classOf ⇄ visible	Cubical.HITs.SetQuotients.Base._/_.[ visible b , false ] != b of type State Cubical.HITs.SetQuotients.Base./ _≈_ when checking that the expression refl has type classOf (visible b) ≡ b
5116fd2e7fcc4e6a	b3348308a1745f6d	१ refl	5200b3346f7451a7	Refused	host enumeration (emitter gap)	NaturalMachine.PMTorus : edgeToObs ⇄ obsToEdge	edgeToObs (obsToEdge b) != b of type Obs when checking that the expression refl has type edgeToObs (obsToEdge b) ≡ b
5116fd2e7fcc4e6a	b3348308a1745f6d	२/३ split	32735447ce2d3d16	Refused	enumerate Fin n	NaturalMachine.PMTorus : edgeToObs ⇄ obsToEdge	obsToEdge (edgeToObs a) != a of type Σ (Cubical.Data.FinData.Base.Fin 3) (λ _ → Cubical.Data.FinData.Base.Fin 3) when checking that the expression refl has type
523ea03de96a8490	525d1d3de9845686	४ Σ≡Prop	1aa5583053ee8ce2	Refused	मम दोषः · indexed family	NaturalMachine.Digits : digitsC ⇄ valueC	Cannot instantiate the metavariable _B_5 to solution (Agda.Builtin.Nat.Nat → CanWord k) since it contains the variable k₁ which is not in scope of the metavariable when checking that the expression digitsC has type
523ea03de96a8490	525d1d3de9845686	५ induction	c6328ed3629fd1fe	Refused	unclassified	NaturalMachine.Digits : digitsC ⇄ valueC	Cubical.Data.Nat.ℕ → CanWord a !=< Cubical.Data.Nat.ℕ when checking that the expression digitsC a has type Cubical.Data.Nat.ℕ
56b11543e344e1b3	6ba9f9dc162f5e39	५ induction	4db22064fa42954d	Refused	मम दोषः · statement ill-typed · indexed family	NaturalMachine.RawWordPaddingNormalForm : paddingCount ⇄ zeroRun	Cubical.Data.Nat.ℕ → D.Word b !=< Cubical.Data.Nat.ℕ when checking that the expression zeroRun b has type Cubical.Data.Nat.ℕ
5b51593deeabd59e	93c61d4987d377d7	१ refl	7b874fd7ff1d0e92	Refused	induction on ℕ	NaturalMachine.FreeMonoid : len ⇄ unlen	len (unlen b) != b of type Agda.Builtin.Nat.Nat when checking that the expression refl has type len (unlen b) ≡ b
5b51593deeabd59e	93c61d4987d377d7	५ induction	a5d7db044961d957	Accepted	restates a host Iso	NaturalMachine.FreeMonoid : len ⇄ unlen	
5d08a5ece8abedb1	e39e0f4dd3ba0eda	१ refl	c25a70fed9565aff	Refused	library lemma on ℤ	NaturalMachine.S3IntegerRelativeCoordinates : relativeCoordinates ⇄ relativeFromCoordinates	Cubical.Data.Int.Base.- (relativeCoordinates a .fst Cubical.Data.Int.Base.+ a .fst .NaturalMachine.S3IntegerPermutationModule.ℤ³.c₁) != a .fst .NaturalMachine.S3IntegerPermutationModule.ℤ³.c₂ of type
6e5bbb83f7aa2fde	b907b98483d52bf0	१ refl	bfac7880cfa20327	Refused	induction on ℕ	IntegerHullMultiplicity : K ⇄ hull	K (hull b) != b of type Agda.Builtin.Nat.Nat when checking that the expression refl has type K (hull b) ≡ b
6e5bbb83f7aa2fde	b907b98483d52bf0	५ induction	1998f41bbfa7f4d4	Refused	induction on ℕ	IntegerHullMultiplicity : K ⇄ hull	K (hull w₀) != suc (suc (suc (suc (K (hull w₀))))) of type Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → suc z) (अनुलोमन w₀) has type K (hull (suc w₀)) ≡ suc w₀
6e693183f7b582bc	5fd1f6cb30d45eab	१ refl	2ec6be59c3a91a91	Refused	library lemma on ℤ	CenterRelative : Φ ⇄ Ψ	Ψ b .fst Cubical.Data.Int.Base.+ (b .fst Cubical.Data.Int.Base.+ (Cubical.Data.Int.Base.- fst
6f9f393bb0f44633	11a11190f7eca594	१ refl	071ad1b7cfe6adf2	Refused	host type · NaturalMachine.Obstruction.Tm	NaturalMachine.TermFreeMonoid : fromList ⇄ toList	fromList (toList b) != b of type NaturalMachine.Obstruction.Tm when checking that the expression refl has type fromList (toList b) ≡ b
72860ffd3d521468	728616fd3d52204d	५ induction	c6328ed3629fd1fe	Refused	मम दोषः · statement ill-typed · indexed family	NaturalMachine.Digits : digitsC ⇄ valueC	Cubical.Data.Nat.ℕ → CanWord a !=< Cubical.Data.Nat.ℕ when checking that the expression digitsC a has type Cubical.Data.Nat.ℕ
7b7a30fd4279659f	93c61d4987d377d7	५ induction	a5d7db044961d957	Accepted	restates a host Iso	NaturalMachine.FreeMonoid : len ⇄ unlen	
7c8180bd320fc6b8	d7a509128be249cb	१ refl	896391084c559222	Refused	host enumeration (emitter gap)	NaturalMachine.InflationVersusSubgroup : incl ⇄ proj	incl (proj b) != b of type Z4 when checking that the expression refl has type incl (proj b) ≡ b
7d49cfb4546f5e9d	30208e3dd63de2ea	१ refl	435b03c2f8947325	Refused	induction on List	PingalaPrastara : allLaghu ⇄ uddista	allLaghu (uddista b) != b of type Agda.Builtin.List.List Syllable when checking that the expression refl has type allLaghu (uddista b) ≡ b
7d49cfb4546f5e9d	30208e3dd63de2ea	५ induction	e1da1d2b400f25d8	Refused	induction on List	PingalaPrastara : allLaghu ⇄ uddista	w₀ ∷ allLaghu (uddista w₁) != allLaghu (aksara w₀ Cubical.Data.Nat.+ (uddista w₁ Cubical.Data.Nat.+ uddista w₁))
7d49cfb4546f5e9d	94f53afd50c337b1	५ induction	e1da1d2b400f25d8	Refused	induction on List	PingalaPrastara : allLaghu ⇄ uddista	w₀ ∷ allLaghu (uddista w₁) != allLaghu (aksara w₀ Cubical.Data.Nat.+ (uddista w₁ Cubical.Data.Nat.+ uddista w₁))
8599d7dfe7a47922	2ce91bebbe6e30ed	२/३ split	20d69e109c6998a8	Refused	induction on ℕ	PingalaPrastara : aksara ⇄ parity	aksara (parity b) != b of type Agda.Builtin.Nat.Nat when checking that the expression refl has type aksara (parity b) ≡ b
867dc311d92e8207	af36514c6c826b81	२/३ split	d96179280d26c09f	Refused	unclassified	WallCertificate : classOf ⇄ visible	Cubical.HITs.SetQuotients.Base._/_.[ visible b , false ] != b of type State Cubical.HITs.SetQuotients.Base./ _≈_ when checking that the expression refl has type classOf (visible b) ≡ b
8c989f16e0103ca0	a6d70bfd5b0cae6e	१ refl	f68d7d966f5c48c5	Refused	host type · NaturalMachine.PauliWeyl.Pauli	NaturalMachine.PauliGaugeCocycleSplit : central ⇄ phase	NaturalMachine.PauliWeyl.Pauli.pauli (phase b) Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false != b of type NaturalMachine.PauliWeyl.Pauli
8f84bbaf15a0e820	c2f5251b61ec4933	१ refl	3e32119a03eabbbd	Refused	मम दोषः · indexed family	NaturalMachine.RawWordPaddingNormalForm : join ⇄ split	Cannot instantiate the metavariable _B_5 to solution (D.CanWord k Cubical.Data.Sigma.Base.× Agda.Builtin.Nat.Nat → D.Word k) since it contains the variable k₁
90165ce228fac29c	b6dced4c76e90c20	१ refl	8a14f5e4b6dc5fb2	Refused	induction on ℕ	NaturalMachine.SieveScaleTower : s₃₂ ⇄ π₃₂	Agda.Builtin.Nat.Nat.zero != b .snd .snd of type Agda.Builtin.Nat.Nat when checking that the expression refl has type s₃₂ (π₃₂ b) ≡ b
90165ce228fac29c	f4eb83f9c13a350e	१ refl	8a14f5e4b6dc5fb2	Refused	induction on ℕ	NaturalMachine.SieveScaleTower : s₃₂ ⇄ π₃₂	Agda.Builtin.Nat.Nat.zero != b .snd .snd of type Agda.Builtin.Nat.Nat when checking that the expression refl has type s₃₂ (π₃₂ b) ≡ b
94f8c0fd50c6513a	94f8bffd50c64f87	२/३ split	f82fa5524935017e	Accepted	restates a host Iso	ProjectionChargeAudit : decode ⇄ encode	
985e33b1fb42b29b	119c6ff1761aa887	१ refl	7c29677a147569bd	Refused	enumerate Fin n	NaturalMachine.PMTorus : edgeToFin ⇄ finToEdge	edgeToFin (finToEdge b) != b of type Cubical.Data.FinData.Base.Fin 9 when checking that the expression refl has type edgeToFin (finToEdge b) ≡ b
985e33b1fb42b29b	119c6ff1761aa887	२/३ split	d9c2af101013b6d5	Accepted	restates a host Iso	NaturalMachine.PMTorus : edgeToFin ⇄ finToEdge	
9e0852fd56052a2c	9e0859fd56053611	४ Σ≡Prop	55720b800d53dc2e	Refused	case on Bool	SaptabhangiNaya : code' ⇄ decode	code (Cubical.Data.Empty.Base.rec (snd₁ (λ _ → false , false , false))) .fst != false of type Cubical.Data.Bool.Bool
a2feba608321e7de	4947073de440319a	१ refl	826f1a0a51de2266	Refused	library lemma on ℤ	NaturalMachine.SmithPathCountedExecution : colsOf ⇄ fromCols	mkCol (colsOf a .fst) (colsOf a .snd .fst) (colsOf a .snd .snd) x x₁ != a x x₁ of type Cubical.Data.Int.Base.ℤ when checking that the expression refl has type
a2feba608321e7de	b001a6fd60625e63	१ refl	826f1a0a51de2266	Refused	library lemma on ℤ	NaturalMachine.SmithPathCountedExecution : colsOf ⇄ fromCols	mkCol (colsOf a .fst) (colsOf a .snd .fst) (colsOf a .snd .snd) x x₁ != a x x₁ of type Cubical.Data.Int.Base.ℤ when checking that the expression refl has type
aa318387f0404830	bb6b03acc68c7f7b	१ refl	2ec6be59c3a91a91	Refused	library lemma on ℤ	CenterRelative : Φ ⇄ Ψ	Ψ b .fst Cubical.Data.Int.Base.+ (b .fst Cubical.Data.Int.Base.+ (Cubical.Data.Int.Base.- fst
aa3f1d87f04bd83a	b907b98483d52bf0	५ induction	1998f41bbfa7f4d4	Refused	खण्डितम् · x ≢ suc4 x — ℕ has no such fixpoint	IntegerHullMultiplicity : K ⇄ hull	K (hull w₀) != suc (suc (suc (suc (K (hull w₀))))) of type Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → suc z) (अनुलोमन w₀) has type K (hull (suc w₀)) ≡ suc w₀
ac435ff9ccc6b0ef	a7d3ee7585b31fe5	१ refl	92826f54c49b1365	Refused	case on ⊎	NaturalMachine.PMTorus : finToVertex ⇄ vertexToFin	finToVertex (vertexToFin b) != b of type Cubical.Data.FinData.Base.Fin 3 Cubical.Data.Sum.Base.⊎ Cubical.Data.FinData.Base.Fin 3 when checking that the expression refl has type
ac435ff9ccc6b0ef	a7d3ee7585b31fe5	२/३ split	1705348d9be394a3	Refused	case on ⊎	NaturalMachine.PMTorus : finToVertex ⇄ vertexToFin	finToVertex (vertexToFin (inl w₀)) != inl w₀ of type Cubical.Data.FinData.Base.Fin 3 Cubical.Data.Sum.⊎ Cubical.Data.FinData.Base.Fin 3 when checking that the expression refl has type
ac92cbb875471427	1eee49ac2602a085	१ refl	96a972c526dd5f3f	Refused	library lemma on ℤ	NaturalMachine.DSONucleusMiddleProduct : Nstar ⇄ Nsub	Cubical.Data.Int.Properties.min (Cubical.Data.Int.Properties.min (M3 x NaturalMachine.DSONucleusExecutionCalibration.Cell.e x₁ Cubical.Data.Int.Base.+
afd5a4fd603d2012	afd5a5fd603d21c5	१ refl	4722fbe9215f963f	Accepted	restates a host Iso	NaturalMachine.S3IntegerRelativeCoordinates : intersectionToKernel ⇄ kernelToIntersection	
