# निर्णयपञ्जिका — keyed on नाम's content addresses and the probe's own digest.  A row stands until one of them moves.
# ROOTS: formal/cubical:/root/.cache/cubical-v0.9/Cubical
# TOOLCHAIN: Agda version 2.8.0 Built with flags (cabal -f)  - optimise-heavily: extra optimisations | libraries: /root/.cache/cubical-v0.9/cubical.agda-lib ; /home/user/math/formal/cubical/natural-machine.agda-lib
# The pin is Agda 2.8.0 / cubical v0.9 (formal/cubical/check.sh).  A row produced off-pin is evidence about THIS toolchain, not about the corpus.
# addrF	addrG	rung	probe	verdict	class	where	obligation
		१ refl	46da4ae0a82595f9	Refused	host type · Cubical.HITs.SetTruncation.Base.∥ Cubical.Foundations.Structure.typ ((Cubical.Homotopy.Loopspace.Ω^ 1) (Cubical.HITs.Bouquet.Base.Bouquet∙ _A_7)) ∥₂	Cubical.HITs.Bouquet.FundamentalGroupProof : loopingT ⇄ windingT	Cubical.HITs.SetTruncation.Properties.rec Cubical.HITs.SetTruncation.Base.∥_∥₂.squash₂ (λ x → Cubical.HITs.SetTruncation.Base.∥_∥₂.∣ looping x ∣₂) (Cubical.HITs.SetTruncation.Properties.rec
		१ refl	64d69f6753d23cfe	Refused	host enumeration (emitter gap)	Cubical.HITs.S1.Base : intLoop ⇄ winding	intLoop (transp (λ i → helix (b i)) i0 (Cubical.Data.Int.Base.ℤ.pos Agda.Builtin.Nat.Nat.zero)) i
		२/३ split	87d67d9ed74a68db	Refused	unclassified	Cubical.HITs.Torus.Base : c2t ⇄ t2c	The constructor line1 expects 1 arguments (including hidden ones), but has been given 0 (including hidden ones) when checking that the pattern line1 has type Torus
		१ refl	4a4001a7f3cd59b3	Refused	host type · Susp (0 -sphere)	Cubical.Papers.Synthetic : c2s ⇄ s2c	c2s (s2c b) != b of type Susp (0 -sphere) when checking that the expression refl has type c2s (s2c b) ≡ b
		२/३ split	fc71b73ee86a46e2	Refused	unclassified	Cubical.Talks.EPA2020 : c2t ⇄ t2c	The constructor line1 expects 1 arguments (including hidden ones), but has been given 0 (including hidden ones) when checking that the pattern line1 has type Torus
		१ refl	fc5239c1006410e6	Refused	unclassified	Cubical.ZCohomology.Groups.S2wedgeS1wedgeS1 : from₀ ⇄ to₀	Cubical.HITs.SetTruncation.Base.∥_∥₂.∣ (λ _ → to₀ b) ∣₂ != b of type Cubical.HITs.SetTruncation.Base.∥ (S²⋁S¹⋁S¹ →
		१ refl	98bfe34b7deb3584	Refused	host type · Cubical.HITs.SetTruncation.Base.∥ (S²⋁S¹⋁S¹ → Cubical.ZCohomology.Base.coHomK (Agda.Builtin.FromNat.Number.fromNat Cubical.Data.Nat.Literals.fromNatℕ 1)) ∥₂	Cubical.ZCohomology.Groups.S2wedgeS1wedgeS1 : from₁ ⇄ to₁	Cubical.HITs.SetTruncation.Base.∥_∥₂.∣ Cubical.ZCohomology.Groups.Wedge.wedgeFun⁻ (Cubical.HITs.Sn.Base.S₊∙ (Agda.Builtin.FromNat.Number.fromNat
		१ refl	c767fb97dcd7e296	Refused	host type · Cubical.HITs.SetTruncation.Base.∥ (S²⋁S¹⋁S¹ → Cubical.ZCohomology.Base.coHomK (Agda.Builtin.FromNat.Number.fromNat Cubical.Data.Nat.Literals.fromNatℕ 2)) ∥₂	Cubical.ZCohomology.Groups.S2wedgeS1wedgeS1 : from₂ ⇄ to₂	Cubical.HITs.SetTruncation.Base.∥_∥₂.∣ Cubical.ZCohomology.Groups.Wedge.wedgeFun⁻ (Cubical.HITs.Sn.Base.S₊ (Agda.Builtin.Nat.Nat.suc
82f25c48ce7865c0	db9031e4d98e7577	१ refl	a8e9834431818a4c	Refused	host type · Weave k _j_7	EGBThreadYoneda : yonedaFrom ⇄ yonedaTo	x ⊙ yonedaFrom a != a k x of type Weave k _j_7 when checking that the expression refl has type yonedaTo (yonedaFrom a) ≡ a
a727ef7a9433d07f	f1c1b8852d27a8cd	५ induction	1998f41bbfa7f4d4	Refused	खण्डितम् · the host proves the other value	IntegerHullMultiplicity : K ⇄ hull	hullK : (t : ℕ) → K (hull t) ≡ t · 5
1d41e597d51e115f	f1c1b8852d27a8cd	५ induction	843b74dc7cf4303b	Refused	खण्डितम् · the host proves the other value	IntegerHullMultiplicity : N ⇄ hull	hullN : (t : ℕ) → N (hull t) ≡ t · 6
49df4d1257666a8f	f1c1b8852d27a8cd	५ induction	ee81ea80aa2e1869	Refused	induction on List	IntegerHullMultiplicity : Qs ⇄ hull	w₀ ∷ hull (Qs w₁) != hull (w₀ Cubical.Data.Nat.· w₀ Cubical.Data.Nat.+ Qs w₁) of type Cubical.Data.List.List Cubical.Data.Nat.ℕ when checking that the expression
e293eeee81d9a99e	f1c1b8852d27a8cd	५ induction	3d733d3cb6b5b8f9	Refused	खण्डितम् · the host proves the other value	IntegerHullMultiplicity : SQ ⇄ hull	hullSQ : (t : ℕ) → SQ (hull t) ≡ t · 8
903adf8a9baa40d1	f1c1b8852d27a8cd	५ induction	10f1828ece3fc0d0	Refused	induction on List	IntegerHullMultiplicity : Xs ⇄ hull	w₀ ∷ hull (Xs w₁) != hull (w₀ Cubical.Data.Nat.+ Xs w₁) of type Cubical.Data.List.List Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → w₀ ∷ z) (प्रतिलोमन w₁) has type
f1c1b8852d27a8cd	6b9819e8dd9d2a42	५ induction	c98a8e5df23c28ac	Refused	खण्डितम् · the host proves the other value	IntegerHullMultiplicity : hull ⇄ ones	hullOnes : (t : ℕ) → ones (hull t) ≡ t · 4
e2c65220f5cbad68	1affa60e6e3114a0	२/३ split	eb086a5f88cc41e8	Refused	खण्डितम् · distinct constructors of Bool	NaturalMachine.AdaptiveProbeCollapse : decodeTriple ⇄ staticTriple	false != true of type Cubical.Data.Bool.Bool when checking that the expression refl has type staticTriple (decodeTriple (false , true , false)) ≡ (false , true , false)
eac3852512a7a12a	79b66a78ace1ad9f	१ refl	7af12f67719af965	Refused	खण्डितम् · the host proves the other value	NaturalMachine.ChargeTwoHistories : augment ⇄ sign	augment-sign : (z : ℤ) → augment (sign z) ≡ pos 0
3c32ab13d890cb28	79b66a78ace1ad9f	१ refl	29780210d2c472de	Refused	खण्डितम् · the host proves the other value	NaturalMachine.ChargeTwoHistories : relative ⇄ sign	relative-sign : (z : ℤ) → relative (sign z) ≡ z +ℤ z
