R	classes	slope	top_share
2	45	-2.0353	0.6525
3	97	-1.9576	0.3719
5	160	-1.6916	0.4132
10	216	-1.5947	0.4445
20	632	-1.2311	0.1965
50	1632	-0.9639	0.0458
100	3086	-0.7085	0.0118
1000	6950	-0.0987	0.0004
