varna	pattern	uddista	matra	guru	codas	top_types
8	GGLGLLGG	53	13	5	2	[('9i', 2)]
8	GGLLLLGG	61	12	4	2	[('9-NOISE', 1), ('9i', 1)]
8	LGLLLLGG	62	11	3	2	[('9i', 2)]
8	GGLLLLLL	253	10	2	2	[('9-NOISE', 2)]
8	GGGLLLLG	121	12	4	1	[('9i', 1)]
8	LLLGGGLG	72	12	4	1	[('9i', 1)]
8	LLGLGGGG	12	13	5	1	[('9i', 1)]
8	LGGLGGGG	10	14	6	1	[('9i', 1)]
8	GLGLLGGG	27	13	5	1	[('9i', 1)]
8	LLGLGLLG	108	11	3	1	[('9i', 1)]
8	GGGGLLLL	241	12	4	1	[('9i', 1)]
8	GGGGGLGG	33	15	7	1	[('9i', 1)]
8	LGGLGGLG	74	13	5	1	[('9i', 1)]
8	GLGLLLGG	59	12	4	1	[('9i', 1)]
8	GGGLLLLL	249	11	3	1	[('9i', 1)]
8	GLLGGGGG	7	14	6	1	[('9i', 1)]
8	LLGGLGGG	20	13	5	1	[('9i', 1)]
8	GLGGGGGG	3	15	7	1	[('9i', 1)]
8	LLLGLLLG	120	10	2	1	[('9i', 1)]
8	LLGGLLLL	244	10	2	1	[('9i', 1)]
8	GLLLGLGG	47	12	4	1	[('9i', 1)]
8	GGGLLLGG	57	13	5	1	[('9-NOISE', 1)]
8	GGLLGGGG	13	14	6	1	[('9-NOISE', 1)]
8	LLLLGGGG	16	12	4	1	[('9i', 1)]
9	LLLLLLLLL	512	9	0	24	[('10R', 17), ('10i', 7)]
9	LLLLLLLLG	256	10	1	12	[('10i', 10), ('10R', 2)]
9	LGLLLLLLG	254	11	2	5	[('10i', 5)]
9	GLLLLLLLL	511	10	1	5	[('10R', 5)]
9	GLLLLLLLG	255	11	2	4	[('10R', 3), ('10i', 1)]
9	LLLLLLLGG	128	11	2	3	[('10i', 3)]
9	LLLLLLGGG	64	12	3	3	[('10i', 3)]
9	LGGGGGGGG	2	17	8	3	[('10i', 3)]
9	LGGLGGGGG	10	16	7	2	[('10i', 2)]
9	LLLLGGGGG	16	14	5	2	[('10i', 2)]
9	GGLLGLLLL	493	12	3	2	[('10-NOISE', 1), ('10R', 1)]
9	GGLLLLLGG	125	13	4	2	[('10-NOISE', 2)]
9	GGLLGGLLL	461	13	4	2	[('10-NOISE', 2)]
