AffineProjectionQuantumBoundary.symbolicSummary	P(d:AffineProjectionQuantumBoundary.Solutions(),d:Agda.Builtin.Unit.⊤())	Agda.Builtin.Unit.tt 
AffineProjectionQuantumBoundary.summaryFiberIso	d:Cubical.Foundations.Isomorphism.Iso(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:Cubical.Foundations.Equiv.Base.fiber(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:AffineProjectionQuantumBoundary.Solutions()d:Agda.Builtin.Unit.⊤()d:AffineProjectionQuantumBoundary.symbolicSummary()c:Agda.Builtin.Unit.tt())d:AffineProjectionQuantumBoundary.Solutions())	Agda.Builtin.Sigma._,_ Agda.Builtin.Unit.tt Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.summaryFiberIso Cubical.Foundations.Isomorphism.Iso.inv AffineProjectionQuantumBoundary.summaryFiberIso Cubical.Data.Sigma.Properties.Σ≡Prop Agda.Primitive.lzero AffineProjectionQuantumBoundary.Solutions Agda.Primitive.lzero Agda.Builtin.Cubical.Path._≡_ Agda.Primitive.lzero Agda.Builtin.Unit.⊤ Agda.Builtin.Unit.tt Agda.Builtin.Unit.tt Cubical.Data.Unit.Properties.isSetUnit Agda.Builtin.Unit.tt Agda.Builtin.Unit.tt Cubical.Foundations.Isomorphism.Iso.inv AffineProjectionQuantumBoundary.summaryFiberIso Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.summaryFiberIso Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma.Σ.fst Cubical.Foundations.Isomorphism.Iso.inv AffineProjectionQuantumBoundary.summaryFiberIso Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.summaryFiberIso Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma.Σ.fst Cubical.Foundations.Isomorphism.Iso.inv AffineProjectionQuantumBoundary.summaryFiberIso Cubical.Foundations.Isomorphism.Iso.fun AffineProjectionQuantumBoundary.summaryFiberIso Agda.Builtin.Sigma._,_ 
AskingIsNotAPropertyOfTheFunction.verdict	P(d:Agda.Primitive.Level(),P(S,P(d:Cubical.Relation.Nullary.Base.Dec(v1()v0()),d:Agda.Builtin.Nat.Nat())))	
AskingIsNotAPropertyOfTheFunction.ask	P(d:Agda.Primitive.Level(),P(S,P(d:Cubical.Relation.Nullary.Base.Discrete(v1()v0()),P(v1(),P(v2(),d:Agda.Builtin.Nat.Nat())))))	AskingIsNotAPropertyOfTheFunction.verdict Agda.Builtin.Cubical.Path._≡_ 
AskingIsNotAPropertyOfTheFunction.discreteBool	d:Cubical.Relation.Nullary.Base.Discrete(d:Agda.Primitive.lzero()d:Agda.Builtin.Bool.Bool())	Cubical.Relation.Nullary.Base.Dec.yes Agda.Builtin.Bool.Bool.true Cubical.Relation.Nullary.Base.Dec.yes Agda.Builtin.Bool.Bool.false Cubical.Relation.Nullary.Base.Dec.no Cubical.Data.Bool.Properties.true≢false Cubical.Relation.Nullary.Base.Dec.no Cubical.Data.Bool.Properties.false≢true 
AskingIsNotAPropertyOfTheFunction.askBool	P(d:Agda.Builtin.Bool.Bool(),P(d:Agda.Builtin.Bool.Bool(),d:Agda.Builtin.Nat.Nat()))	AskingIsNotAPropertyOfTheFunction.ask Agda.Primitive.lzero Agda.Builtin.Bool.Bool AskingIsNotAPropertyOfTheFunction.discreteBool 
AskingIsNotAPropertyOfTheFunction.peel	P(d:Agda.Builtin.Nat.Nat(),P(d:Agda.Builtin.Nat.Nat(),d:Agda.Builtin.Nat.Nat()))	AskingIsNotAPropertyOfTheFunction.peel 
AskingIsNotAPropertyOfTheFunction.peel-step	P(d:Agda.Builtin.Nat.Nat(),P(d:Agda.Builtin.Nat.Nat(),d:Agda.Builtin.Cubical.Path._≡_(d:Agda.Primitive.lzero()d:Agda.Builtin.Nat.Nat()d:AskingIsNotAPropertyOfTheFunction.peel(c:Agda.Builtin.Nat.Nat.suc(v1())c:Agda.Builtin.Nat.Nat.suc(v0()))d:AskingIsNotAPropertyOfTheFunction.peel(v1()v0()))))	AskingIsNotAPropertyOfTheFunction.peel Agda.Builtin.Nat.Nat.suc Agda.Builtin.Nat.Nat.suc 
AskingIsNotAPropertyOfTheFunction.peel-diagonal	P(d:Agda.Builtin.Nat.Nat(),d:Agda.Builtin.Cubical.Path._≡_(d:Agda.Primitive.lzero()d:Agda.Builtin.Nat.Nat()d:AskingIsNotAPropertyOfTheFunction.peel(v0()v0())K))	AskingIsNotAPropertyOfTheFunction.peel Agda.Builtin.Nat.Nat.zero Agda.Builtin.Nat.Nat.zero AskingIsNotAPropertyOfTheFunction.peel-diagonal 
AskingIsNotAPropertyOfTheFunction.peel-off	P(d:Agda.Builtin.Nat.Nat(),P(d:Agda.Builtin.Nat.Nat(),P(d:Cubical.Relation.Nullary.Base.¬_(d:Agda.Primitive.lzero()d:Agda.Builtin.Cubical.Path._≡_(d:Agda.Primitive.lzero()d:Agda.Builtin.Nat.Nat()v1()v0())),d:Agda.Builtin.Cubical.Path._≡_(d:Agda.Primitive.lzero()d:Agda.Builtin.Nat.Nat()d:AskingIsNotAPropertyOfTheFunction.peel(v2()v1())K))))	Cubical.Data.Empty.Base.rec Agda.Primitive.lzero Agda.Builtin.Cubical.Path._≡_ Agda.Primitive.lzero Agda.Builtin.Nat.Nat AskingIsNotAPropertyOfTheFunction.peel Agda.Builtin.Nat.Nat.zero Agda.Builtin.Nat.Nat.zero Agda.Builtin.Nat.Nat.zero AskingIsNotAPropertyOfTheFunction.peel Agda.Builtin.Nat.Nat.zero Agda.Builtin.Nat.Nat.suc AskingIsNotAPropertyOfTheFunction.peel Agda.Builtin.Nat.Nat.suc Agda.Builtin.Nat.Nat.zero AskingIsNotAPropertyOfTheFunction.peel-off Agda.Builtin.Nat.Nat.suc 
